name,release_date,developer,publisher,platforms,required_age,categories,genres
Counter-Strike,2000-11-01,Valve,Valve,windows;mac;linux,0,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action
Team Fortress Classic,1999-04-01,Valve,Valve,windows;mac;linux,0,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action
Deathmatch Classic,2001-06-01,Valve,Valve,windows;mac;linux,0,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action
Half-Life: Opposing Force,1999-11-01,Gearbox Software,Valve,windows;mac;linux,0,Single-player;Multi-player;Valve Anti-Cheat enabled,Action
Ricochet,2000-11-01,Valve,Valve,windows;mac;linux,0,Multi-player;Online Multi-Player;Valve Anti-Cheat enabled,Action
Half-Life,1998-11-08,Valve,Valve,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled,Action
Counter-Strike: Condition Zero,2004-03-01,Valve,Valve,windows;mac;linux,0,Single-player;Multi-player;Valve Anti-Cheat enabled,Action
Half-Life: Blue Shift,2001-06-01,Gearbox Software,Valve,windows;mac;linux,0,Single-player,Action
Half-Life 2,2004-11-16,Valve,Valve,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK,Action
Half-Life: Source,2004-06-01,Valve,Valve,windows;mac;linux,0,Single-player,Action
Half-Life 2: Lost Coast,2005-10-27,Valve,Valve,windows;mac;linux,0,Single-player;Commentary available,Action
Half-Life 2: Episode One,2006-06-01,Valve,Valve,windows;mac;linux,0,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action
Portal,2007-10-10,Valve,Valve,windows;mac;linux,0,Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available,Action
Half-Life 2: Episode Two,2007-10-10,Valve,Valve,windows;mac;linux,0,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action
Left 4 Dead,2008-11-17,Valve,Valve,windows;mac,0,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available,Action
Left 4 Dead 2,2009-11-19,Valve,Valve,windows;mac;linux,0,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available,Action
Portal 2,2011-04-18,Valve,Valve,windows;mac;linux,0,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available,Action;Adventure
Alien Swarm,2010-07-19,Valve,Valve,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor,Action
Killing Floor,2009-05-14,Tripwire Interactive,Tripwire Interactive,windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor,Action
SiN Episodes: Emergence,2006-05-10,Ritual Entertainment,Ritual Entertainment,windows,0,Single-player;Stats,Action
Darwinia,2005-07-14,Introversion Software,Introversion Software,windows;mac;linux,0,Single-player,Indie;Strategy
Uplink,2006-08-23,Introversion Software,Introversion Software,windows;mac;linux,0,Single-player,Indie;Strategy
DEFCON,2006-09-29,Introversion Software,Introversion Software,windows;mac;linux,0,Single-player;Multi-player,Indie;Strategy
Dangerous Waters,2006-02-07,Sonalysts,Strategy First,windows,0,Single-player;Multi-player,Strategy
Space Empires IV Deluxe,2006-02-07,Malfador Machinations,Strategy First,windows,0,Single-player;Multi-player,Strategy
Disciples II: Rise of the Elves ,2006-07-06,Strategy First,Strategy First,windows,0,Single-player;Multi-player;Co-op,Strategy
Disciples II: Gallean's Return,2006-07-06,Strategy First,Strategy First,windows,0,Single-player;Multi-player;Co-op,Strategy
Iron Warriors: T - 72 Tank Command ,2006-07-26,Strategy First,Strategy First,windows,0,Single-player;Multi-player,Strategy
Space Empires V,2006-10-16,Malfador Machinations,Strategy First,windows,0,Single-player;Multi-player,Strategy
Arx Fatalis,2007-04-03,Arkane Studios,Arkane Studios,windows,0,Single-player,RPG
Earth 2160,2006-04-01,Reality Pump Studios,Topware Interactive;ACE,windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards,Strategy
Two Worlds Epic Edition,2009-04-30,Reality Pump Studios,Topware Interactive,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support,RPG
Dark Messiah of Might & Magic,2006-10-25,Arkane Studios,Ubisoft,windows,0,Single-player;Multi-player;Valve Anti-Cheat enabled,Action;RPG
Quake III Arena,2007-08-03,id Software,id Software,windows,0,Single-player;Multi-player;Steam Cloud,Action
Quake IV,2011-08-04,RavenSoft / id Software,Bethesda Softworks,windows,18,Single-player;Multi-player;Steam Cloud,Action
Wolfenstein 3D,2007-08-03,id Software,Bethesda-Softworks,windows,0,Single-player;Steam Cloud,Action
Ultimate Doom,2007-08-03,id Software,id Software,windows,0,Single-player;Steam Cloud,Action
Final DOOM,2007-08-03,id Software,id Software,windows,0,Single-player;Steam Cloud,Action
DOOM II,2007-08-03,id Software,id Software,windows,0,Single-player;Multi-player;Steam Cloud,Action
QUAKE,2007-08-03,id Software,id Software,windows,0,Single-player;Multi-player;Co-op;Steam Cloud,Action
QUAKE II,2007-08-03,id Software,id Software,windows,0,Single-player;Multi-player;Co-op;Steam Cloud,Action
QUAKE II Mission Pack: The Reckoning,2007-08-03,Xatrix Entertainment,id Software,windows,0,Single-player;Multi-player;Steam Cloud,Action
QUAKE II Mission Pack: Ground Zero,2007-08-03,Rogue Entertainment,id Software,windows,0,Single-player;Multi-player;Steam Cloud,Action
QUAKE III: Team Arena,2007-08-03,id Software,id Software,windows,0,Single-player;Multi-player;Steam Cloud,Action
HeXen: Beyond Heretic,2007-08-03,Raven Software,id Software,windows,0,Single-player;Steam Cloud,Action
HeXen: Deathkings of the Dark Citadel,2007-08-03,Raven Software,id Software,windows,0,Single-player;Steam Cloud,Action
Heretic: Shadow of the Serpent Riders,2007-08-03,Raven Software,id Software,windows,0,Single-player;Multi-player;Steam Cloud,Action
The Ship: Murder Party,2006-07-11,Outerlight Ltd.,Blazing Griffin Ltd.,windows,0,Single-player;Multi-player;Steam Trading Cards;Valve Anti-Cheat enabled,Action;Indie;RPG
Bloody Good Time,2010-10-29,Outerlight Ltd.,Ubisoft,windows,0,Single-player;Multi-player;Steam Achievements,Action
Shadowgrounds,2006-05-08,Frozenbyte,Frozenbyte,windows;mac,0,Single-player;Shared/Split Screen;Steam Trading Cards,Action
Alpha Prime,2007-11-07,Black Element,Bohemia Interactive,windows,0,Single-player,Action
Vampire: The Masquerade - Bloodlines,2007-03-22,Troika Games,Activision,windows,0,Single-player,Action
GUN™,2006-10-13,Neversoft,Activision,windows,0,Single-player,Action
Call of Duty®,2006-10-13,Infinity Ward,Activision,windows,0,Single-player;Multi-player,Action
Call of Duty® 2,2006-10-13,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),windows;mac,0,Single-player;Multi-player,Action
Call of Duty: United Offensive,2006-10-13,Gray Matter Studios,Activision,windows,0,Single-player;Multi-player,Action
Act of War: Direct Action,2008-03-12,Eugen Systems,THQ Nordic,windows,0,Single-player;Multi-player,Action
ThreadSpace: Hyperbol,2007-07-12,Iocaine Studios,Atari,windows,0,Single-player;Multi-player;Includes level editor,Action;Indie;Strategy
ARMA: Combat Operations,2008-03-12,Bohemia Interactive,Bohemia Interactive,windows,0,Single-player;Multi-player;Includes level editor,Action
X2: The Threat,2006-07-21,Egosoft,Egosoft,windows,0,Single-player;Captions available;Steam Cloud,Strategy
X3: Reunion,2006-07-21,Egosoft,Egosoft,windows;mac;linux,0,Single-player;Captions available;Steam Cloud,Strategy
X3: Terran Conflict,2008-10-16,Egosoft,Egosoft,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud,Action;Simulation;Strategy
X: Beyond the Frontier,2010-10-08,Egosoft,Egosoft,windows,0,Single-player;Steam Cloud,Simulation;Strategy
X: Tension,2010-10-08,Egosoft,Egosoft,windows,0,Single-player;Steam Cloud,Simulation;Strategy
X Rebirth,2013-11-15,Egosoft,Egosoft,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud,Action;Simulation
688(I) Hunter/Killer,2006-10-26,Sonalysts,Strategy First,windows,0,Single-player;Multi-player,Strategy
Fleet Command,2006-10-26,Sonalysts,Strategy First,windows,0,Single-player,Strategy
Sub Command,2006-10-26,Sonalysts,Strategy First,windows,0,Single-player;Multi-player;Co-op;Includes level editor,Strategy
FlatOut 2™,2006-12-21,Bugbear Entertainment,Strategy First,windows,0,Single-player,Racing
Xpand Rally,2006-08-24,Techland,Techland,windows,0,Single-player;Multi-player,Racing
Call of Juarez™,2007-11-08,Techland,Techland Publishing,windows,0,Single-player;Multi-player;Steam Trading Cards,Action
Xpand Rally Xtreme,2008-10-08,Techland,Techland,windows,0,Single-player;Multi-player,Racing
Men of War: Red Tide,2009-11-01,1C Entertainment,1C Entertainment;1C-SoftClub,windows,0,Single-player;Steam Cloud,Strategy
King's Bounty: Armored Princess,2009-11-19,Katauri Interactive,1C Entertainment,windows;mac,0,Single-player;Steam Cloud,RPG;Strategy
Genesis Rising,2007-08-06,Metamorf,THQ Nordic,windows,0,Single-player;Multi-player,Strategy
